_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PostalCode,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,cwelcc_flag,Longitude,Latitude
975,14276,Le Petit Chaperon Rouge - Scarborough,Non Profit Agency,29 MEADOWVALE RD,M1C,Public Elementary (French),Ecole Elementaire Catholique Saint-Michel,10,15,24,26,30,105,Y,Y,-79.155944747,43.777738537
976,14278,Alphabet Academy,Commercial Agency,111 MANOR RD E,M4S,Place of Worship,,0,15,24,0,0,39,N,Y,-79.391052927,43.703546785
977,14279,Little Bugs Nursery Corporation,Commercial Agency,1448 KINGSTON RD,M1N,Other,,0,10,18,0,0,28,N,N,-79.2707984328,43.6881272816
978,14280,Mtt Davisville (10730041 Canada Inc),Commercial Agency,588 MOUNT PLEASANT RD,M4S,House,,0,10,13,0,0,23,N,Y,-79.388493271,43.703462282
979,14281,Free Spirit Montessori Downtown,Commercial Agency,500 QUEENS QUAY W,M5V,Other,,0,0,15,0,0,15,N,N,-79.395144872,43.637691974
980,14283,Alphabet Station,Commercial Agency,2206 QUEEN ST E,M4E,Other,,10,20,24,0,0,54,N,Y,-79.289416239,43.672550802
981,14284,Learning Jungle Buttonwood,Commercial Agency,100 SIDNEY BELSEY CRES,M6M,Public Elementary School,Portage Trail Public School,10,30,48,0,0,88,Y,Y,-79.509766886,43.692296186
982,14288,Macaulay - Mountview Child Care Centre,Non Profit Agency,569 JANE ST,M6S,Other,Runnymede Collegiate,0,0,0,26,30,56,Y,Y,-79.4898146564,43.6635408493
983,14289,Columbus Early Learning - St Raphael,Non Profit Agency,3 GADE DR,M3M,Catholic Elementary School,St. Raphael Catholic School,0,0,0,26,30,56,Y,Y,-79.488718066,43.72852358
984,14291,Leonardo Da Vinci Academy Of Arts & Science,Non Profit Agency,901 LAWRENCE AVE W,M6A,Other,,0,0,32,0,0,32,N,N,-79.4567456639,43.7130135156
985,14292,The Neighbourhood Group Lord Lansdowne Child Care,Non Profit Agency,33 ROBERT ST,M5S,Public Elementary Special,Lord Lansdowne Junior And Senior Public School,0,0,0,26,75,101,Y,Y,-79.401909851,43.658953041
986,14294,Beaches Montessori School South,Commercial Agency,995 KINGSTON RD,M4E,Other,,0,15,16,0,0,31,N,N,-79.28548821,43.680530616
987,14296,Tiny Explorers Academy,Commercial Agency,404 RONCESVALLES AVE,M6R,Other,,20,50,64,0,0,134,N,Y,-79.451216247,43.6512179232
988,14297,Lullaboo Childcare Center (College),Commercial Agency,860 COLLEGE ST,M6H,Other,,20,75,48,0,0,143,N,Y,-79.423853909,43.654457483
989,14299,Kiddiekidz Child Care,Commercial Agency,614 BRIMLEY RD,M1J,Place of Worship,,0,10,16,0,27,53,N,Y,-79.2511454294,43.7423705384
990,14300,St. George Mini School Inc,Non Profit Agency,25 MALLARD RD,M3B,Place of Worship,,10,45,0,0,0,55,N,Y,-79.3490271328,43.7472220517
991,14302,Fantasia Child Care Center (2724826 Ontario Inc),Commercial Agency,678 SHEPPARD AVE W,M3H,Other,,0,25,40,14,0,79,N,Y,-79.4428651353,43.754951864
992,14308,Ridley Orchard School Ltd.,Commercial Agency,1920 AVENUE RD,M5M,Other,,0,0,94,0,0,94,N,N,-79.4198615611,43.7335938099
993,14309,Family Day St Barnabas Child Care Centre,Non Profit Agency,30 WASHBURN WAY,M1B,Catholic Elementary School,St. Barnabas Catholic School,10,10,24,26,15,85,Y,Y,-79.2285151089,43.7972498361
994,14315,Lawrence Orton Early Learning & Child Care Centre,Public (City Operated) Agency,3947 LAWRENCE AVE E,M1G,High Rise Apartment,,10,20,24,0,0,54,Y,Y,-79.2038167415,43.7638127672
995,14318,Aspiring Academics Preschool - Kingston,Commercial Agency,2372 KINGSTON RD,M1N,Other,,0,14,26,0,0,40,N,Y,-79.2509518935,43.707685903
996,14319,Kids Way Daycare,Commercial Agency,369 BROADVIEW AVE,M4K,Other,,5,10,0,0,0,15,N,Y,-79.352395637,43.665771097
997,14321,Kids Connect Daycare,Commercial Agency,138 MAIN ST,M4E,Other,,10,30,16,0,0,56,N,Y,-79.3002579415,43.6832178925
998,14322,Bumble Bee Academy,Commercial Agency,668 KINGSTON RD,M4E,Other,,0,10,38,0,0,48,N,Y,-79.297485303,43.679230135
999,14323,Petitecare,Commercial Agency,1419 GERRARD ST E,M4L,Other,,6,13,14,0,0,33,N,Y,-79.322501807,43.671963182
1000,14325,Bumble Bee Garden Child Care Ltd.,Commercial Agency,1275 DUNDAS ST W,M6J,Other,,0,15,13,0,0,28,N,Y,-79.425056177,43.649276979
1001,14326,Orchard Grove Nursery Inc,Commercial Agency,100 OLD ORCHARD GROVE,M5M,Other,,0,0,32,21,30,83,N,Y,-79.4091618006,43.7343385565
1002,14327,Kinderbrook Montessori School,Commercial Agency,1 CREDIT UNION DR,M4A,Other,,0,25,48,0,0,73,N,Y,-79.317382649,43.725098819
1003,14328,Eh To Zed Preschool Canada Early Learning Academy,Commercial Agency,3 CONCORDE GATE,M3C,Other,,10,30,48,0,0,88,N,Y,-79.3286222395,43.729146925
1004,14329,Toronto Cheder,Non Profit Agency,410 LAWRENCE AVE W,M5M,Other,,0,0,16,0,0,16,N,Y,-79.423760764,43.720794083
1005,14333,Gan Chabad Preschool,Non Profit Agency,147 OVERBROOK PL,M3H,Other,,10,15,16,0,0,41,N,Y,-79.4578715207,43.7624426321
1006,14335,Atelier Kids Inc.,Commercial Agency,21 QUEBEC AVE,M6P,Other,,0,0,20,24,0,44,Y,N,-79.466835241,43.65372342
1007,14336,Westside Montessori School,Commercial Agency,57 SYLVAN AVE,M6H,Other,,0,12,23,0,0,35,N,N,-79.432417826,43.654292179
1008,14338,The Neighbourhood Group Harbourfront Child Care,Non Profit Agency,650 QUEENS QUAY W,M5V,High Rise Apartment,,16,20,0,0,0,36,Y,Y,-79.39883913,43.635701847
1009,14339,The Neighbourhood Group Waterfront Child Care Centre,Non Profit Agency,635 QUEENS QUAY W,M5V,Public High School,,0,0,40,52,60,152,Y,Y,-79.397162894,43.635694558
1010,14348,Eyes Abacus Child Care,Commercial Agency,20 CHICHESTER PL,M1T,Other,,0,10,10,0,0,20,N,Y,-79.321766948,43.777312321
1011,14350,Early Foundations Learning Centre,Commercial Agency,25 THUNDER GROVE,M1V,Other,,0,15,32,0,0,47,N,Y,-79.2654841608,43.8088087324
1012,14351,The Neighbourhood Group King Edward Child Care,Non Profit Agency,112 LIPPINCOTT ST,M5S,Public Elementary School,King Edward Public School,10,15,24,52,60,161,Y,Y,-79.407408934,43.658244114
1013,14352,Trace Manes School (8603758 Canada Inc),Commercial Agency,822 MILLWOOD RD,M4G,Other,,6,8,12,0,0,26,N,Y,-79.3687749301,43.7052939141
1014,14353,Little Town Childcare And Montessori,Commercial Agency,122 QUEENS PLATE DR,M9W,Other,,0,10,24,0,0,34,N,Y,-79.593943263,43.71514541
1015,14360,Plasp St. Isaac Jogues Catholic School - Tor,Non Profit Agency,1330 YORK MILLS RD,M3A,Catholic Elementary School,St. Issac Jogues Catholic School,0,0,0,0,15,15,Y,Y,-79.321801176,43.762415019
1016,14361,The Toronto Heschel School,Non Profit Agency,819 SHEPPARD AVE W,M3H,Other,,0,0,24,72,0,96,N,Y,-79.450848291,43.752339568
1017,14362,Hurwich Education Centre - Kamin,Non Profit Agency,252 FINCH AVE W,M2R,Other,,0,0,16,78,0,94,N,Y,-79.4384732143,43.7753247064
1018,14363,The Neighbourhood Group Bellevue Child Care,Non Profit Agency,91 BELLEVUE AVE,M5T,Community/Recreation Centre,,0,10,24,0,0,34,Y,Y,-79.403840269,43.656260133
1019,14364,The Clover School - High Park,Commercial Agency,411 CLENDENAN AVE,M6P,Private Elementary School,,0,11,116,0,0,127,N,N,-79.472139399,43.662844645
1020,14365,Simplysmart Childcare Centre & Montessori,Commercial Agency,2271 BLOOR ST W,M6S,Other,,10,60,72,0,0,142,N,Y,-79.478400942,43.650422603
1021,14366,Macaulay Child Development Centre - St.Nicholas Of Bari Child Care,Non Profit Agency,363 ROGERS RD,M6E,Catholic Elementary School,,0,0,0,13,15,28,Y,Y,-79.460493201,43.682824375
1022,14367,St. Malachy Before & After School Program,Non Profit Agency,80 BENNETT RD,M1E,Catholic Elementary School,St. Malachy Catholic School,0,0,0,26,15,41,Y,Y,-79.166350394,43.771132913
1023,14370,Torah Tots Preschool,Non Profit Agency,3995 BATHURST ST,M3H,Other,,10,15,40,0,0,65,N,Y,-79.4353011795,43.7441401065
1024,14373,Waverley Road Montessori School,Commercial Agency,646 KINGSTON RD,M4E,Other,,0,10,19,0,0,29,N,N,-79.298682112,43.678899845
1025,14374,Angus Valley Montessori,Commercial Agency,4841 YONGE ST,M2N,Other,,10,43,88,0,0,141,N,Y,-79.410769238,43.762395176
1026,14375,Blue Bell Academy Inc.,Commercial Agency,1415 GERRARD ST E,M4L,Other,,10,20,8,0,0,38,N,Y,-79.32299937,43.671853879
1027,14377,The Toronto Cheder,Non Profit Agency,475 PATRICIA AVE,M2R,Other,,0,0,20,0,0,20,N,Y,-79.444404123,43.783810513
1028,14382,Macaulay - Stanley Child Care Centre,Non Profit Agency,75 STANLEY RD,M3N,Public Elementary School,Stanley Public School,10,20,32,0,0,62,Y,Y,-79.5178303323,43.7418397792
1029,14390,Le Jardin De Moliere Inc,Commercial Agency,3029 LAKE SHORE BLVD W,M8V,Other,,0,0,15,0,0,15,N,Y,-79.508857616,43.59976997
1030,14397,Narmer Montessori School,Commercial Agency,41 GLENDINNING AVE,M1W,Place of Worship,,0,10,8,0,0,18,N,Y,-79.3325674655,43.8118368415
1031,14399,Kinder College Early Learning Centre,Commercial Agency,25 NICHOLAS AVE,M5A,Other,,10,45,32,0,0,87,N,Y,-79.358144058,43.659635099
1032,14406,The Clover School - High Park Annette Campus,Commercial Agency,250 ANNETTE ST,M6P,Industrial Building,,0,15,0,0,0,15,N,N,-79.471620685,43.662625545
1033,14419,Impact Childcare Centre,Non Profit Agency,4545 JANE ST,M3N,Other,Christian Centre Church,0,20,31,0,0,51,Y,Y,-79.518087394,43.768241466
1034,14422,Beach Hill Montessori,Commercial Agency,2032 GERRARD ST E,M4E,Other,,0,25,40,0,0,65,N,N,-79.3099230382,43.6815613305
1035,14425,Royal York Childcare Inc,Commercial Agency,74 ROYAL YORK RD,M8V,Other,,10,15,24,0,30,79,N,N,-79.494666709,43.606541928
